ancien 	antiguo
autre 	otro
beau 	bonito
bizarre 	estraño
blanc 	blanco
bleu 	azul
bonne 	buena
certain 	seguro
chaud 	caliente
cher 	caro
clair 	claro
content 	contento
dernier 	último
désolé 	arrepentido
différent 	diferente
difficile 	difícil
doux 	suave
droit 	recto
drôle 	gracioso
entier 	entero
étrange 	estraño
facile 	fácil
faux 	falso
fort 	fuerte
français 	francés
froid 	frío
gentil 	gentil
grand 	grande
grave 	grave
gros 	gordo
haut 	alto
heureux 	feliz
humain 	humano
important 	importante
impossible 	imposible
jeune 	joven
joli 	lindo
juste 	justo
léger 	ligero
libre 	libre
long 	largo
malade 	enfermo
mauvais 	malo
meilleur 	mejor
même 	mismo
mort 	muerte
noir 	negro
nouveau 	nuevo
pareil 	igual
pauvre 	pobre
petit 	pequeño
plein 	lleno
possible 	posible
premier 	primero
prêt 	listo/preparado
prochain 	próximo
propre 	limpio
quoi 	qué
rouge 	rojo
sale 	sucio
sérieux 	serio
seul 	solo
simple 	sencillo
super 	súper
tout 	todo
toute 	toda
tranquille 	tranquilo
triste 	triste
vert 	verde
vide 	vacío
vieux 	viejo
vivant 	vivo
vrai 	verdadero
l'affaire 	asunto
l'aide 	ayuda
l'année 	año
l'arme 	arma
l'armée 	ejército
l'attention 	atención
la balle 	bola
la boîte 	caja
la bouche 	boca
la carte 	tarjeta
la cause 	causa
la chambre 	habitación
la chance 	suerte
la chose 	cosa
la classe 	clase
la confiance 	confianza
la couleur 	color
la cour 	patio
la cuisine 	cocina
la dame 	señora
la dent 	diente
la droite 	derecha
l'école 	escuela
l'église 	iglesia
l'envie 	ganas
l'épaule 	hombro
l'époque 	época
l'équipe 	equipo
l'erreur 	error
l'espèce 	especie
la face 	cara
la façon 	manera
la faim 	hambre
la famille 	familia
la faute 	culpa
la femme 	mujer
la fenêtre 	ventana
la fête 	fiesta
la fille 	chica
la fleur 	flor
la fois 	vez
la force 	fuerza
la forme 	forma
la gauche 	izquierda
la guerre 	guerra
la gueule 	boca (animales)
la habitude 	costumbre
la heure 	hora
la histoire 	historia
l'idée 	idea
l'image 	imagen
l'impression 	impresión
la jambe 	pierna
la joie 	alegría
la journée 	diá
la langue 	lengua
la lettre 	letra
la lèvre 	labio
la ligne 	línea
la lumière 	luz
la madame 	señora
la main 	mano
la maison 	casa
la maman 	mamá
la manière 	manera
la marche 	escalón
la merde 	mierda
la mère 	madre
la minute 	minuto
la musique 	música
la nuit 	noche
l'odeur 	olor
l'ombre 	sombra
l'oreille 	oreja
la paix 	paz
la parole 	palabra
la part 	parte
la partie 	parte
la peau 	piel
la peine 	pena
la pensée 	pensamiento
la personne 	persona
la peur 	miedo
la photo 	foto
la pièce 	pieza
la pierre 	piedra
la place 	plaza
la poche 	bolsillo
la police 	policía
la porte 	puerta
la présence 	presencia
la prison 	cárcel
la putain 	prostituta
la question 	cuestión
la raison 	razón
la réponse 	respuesta
la robe 	vestido
la route 	carretera
la salle 	sala
la scène 	escena
la seconde 	segundo
la sécurité 	seguridad
la semaine 	semana
la situation 	situación
la soeur 	hermana
la soirée 	noche
la sorte 	tipo
la suite 	seguida
la table 	mesa
la terre 	tierra
la tête 	cabeza
la tour 	torre
la vérité 	verdad
la ville 	ciudad
la voiture 	coche
la voix 	voz
l'accord 	acuerdo
l'agent 	agente
l'amour 	amor
l'appel 	llamada
l'arbre 	árbol
l'argent 	dinero
l'avenir 	futuro
l'avion 	avión
l'avis 	opinión
le bateau 	barco
le bébé 	bebé
le besoin 	necesidad
le bois 	madera
le bonheur 	alegría
le bonjour 	buenos días
le bord 	orilla
le boulot 	trabajo (coloquial)
le bout 	trozo
le bras 	brazo
le bruit 	ruido
le bureau 	despcho
le café 	café
le camp 	campo
le capitaine 	capitán
le chat 	gato
le chef 	jefe
le chemin 	camino
le chéri 	cariño
le cheval 	caballo
le cheveu 	pelo
le chien 	perro
le choix 	elección
le ciel 	cielo
le client 	cliente
le cœur 	corazón
le coin 	esquina
le colonel 	coronel
le compte 	cuenta
le copain 	novio
le corps 	cuerpo
le côté 	lado
le coup 	golpe
le courant 	corriente
le cours 	clase
le début 	inicio
le départ 	partida
le dieu 	dios
le docteur 	doctor
le doigt 	dedo
le dollar 	dólar
le doute 	duda
le droit 	derecho
l'effet 	efecto
l'endroit 	lugar
l'enfant 	niño
l'ennemi 	enemigo
l'escalier 	escalera
l'esprit 	mente
l'état 	estado
l'être 	ser
l'exemple 	ejemplo
le fait 	hecho
le film 	película
le fils 	hijo
le flic 	policía (coloquial)
le fond 	fondo
le français 	francés
le frère 	hermano
le front 	frente
le garçon 	chico
le garde 	guarda
le gars 	chico (coloquial)
le général 	general
le genre 	género
le gens 	gente
le geste 	gesto
