antiguo / antigua	ancien / ancienne	[sound:ancien _ ancienne.mp3]
otro / otra	autre / autre	[sound:autre _ autre.mp3]
bonito / bonita	beau / belle	[sound:beau _ belle.mp3]
extraño / extraña	bizarre / bizarre	[sound:bizarre _ bizarre.mp3]
blanco / blanca	blanc / blanche	[sound:blanc _ blanche.mp3]
azul / azul	bleu / bleue	[sound:bleu _ bleue.mp3]
bueno / buena	bon / bonne	[sound:bon _ bonne.mp3]
seguro / segura	certain / certaine	[sound:certain _ certaine.mp3]
caliente / caliente	chaud / chaude	[sound:chaud _ chaude.mp3]
caro / cara	cher / chère	[sound:cher _ chère.mp3]
claro / clara	clair / claire	[sound:clair _ claire.mp3]
contento / contenta	content / contente	[sound:content _ contente.mp3]
último / última	dernier / dernière	[sound:dernier _ dernière.mp3]
arrepentido / arrepentida	désolé / désolée	[sound:désolé _ désolée.mp3]
diferente / diferente	différent / différente	[sound:différent _ différente.mp3]
difícil / difícil	difficile / difficile	[sound:difficile _ difficile.mp3]
suave / suave	doux / douce	[sound:doux _ douce.mp3]
gracioso / graciosa	drôle / drôle	[sound:drôle _ drôle.mp3]
entero / entera	entier / entière	[sound:entier _ entière.mp3]
extraño / extraña	étrange / étrange	[sound:étrange _ étrange.mp3]
fácil / fácil	facile / facile	[sound:facile _ facile.mp3]
falso / falsa	faux / fausse	[sound:faux _ fausse.mp3]
fuerte / fuerte	fort / forte	[sound:fort _ forte.mp3]
francés / francesa	français / française	[sound:français _ française.mp3]
frío / fría	froid / froide	[sound:froid _ froide.mp3]
amable / amable	gentil / gentille	[sound:gentil _ gentille.mp3]
grande / grande	grand / grande	[sound:grand _ grande.mp3]
grave / grave	grave / grave	[sound:grave _ grave.mp3]
gordo / gorda	gros / grosse	[sound:gros _ grosse.mp3]
alto / alta	haut / haute	[sound:haut _ haute.mp3]
feliz / feliz	heureux / heureuse	[sound:heureux _ heureuse.mp3]
humano / humana	humain / humaine	[sound:humain _ humaine.mp3]
importante / importante	important / importante	[sound:important _ importante.mp3]
imposible / imposible	impossible / impossible	[sound:impossible _ impossible.mp3]
joven / joven	jeune / jeune	[sound:jeune _ jeune.mp3]
lindo / linda	joli / jolie	[sound:joli _ jolie.mp3]
justo / justa	juste / juste	[sound:juste _ juste.mp3]
ligero / ligera	léger / légère	[sound:léger _ légère.mp3]
libre / libre	libre / libre	[sound:libre _ libre.mp3]
largo / larga	long / longue	[sound:long _ longue.mp3]
enfermo / enferma	malade / malade	[sound:malade _ malade.mp3]
malo / mala	mauvais / mauvaise	[sound:mauvais _ mauvaise.mp3]
mejor / mejor	meilleur / meilleure	[sound:meilleur _ meilleure.mp3]
mismo / misma	même / même	[sound:même _ même.mp3]
muerto / muerta	mort / morte	[sound:mort _ morte.mp3]
negro / negra	noir / noire	[sound:noir _ noire.mp3]
nuevo / nueva	nouveau / nouvelle	[sound:nouveau _ nouvelle.mp3]
igual / igual	pareil / pareille	[sound:pareil _ pareille.mp3]
pobre / pobre	pauvre / pauvre	[sound:pauvre _ pauvre.mp3]
pequeño / pequeña	petit / petite	[sound:petit _ petite.mp3]
lleno / llena	plein / pleine	[sound:plein _ pleine.mp3]
posible / posible	possible / possible	[sound:possible _ possible.mp3]
primero / primera	premier / première	[sound:premier _ première.mp3]
listo / lista	prêt / prête	[sound:prêt _ prête.mp3]
próximo / próxima	prochain / prochaine	[sound:prochain _ prochaine.mp3]
limpio / limpia	propre / propre	[sound:propre _ propre.mp3]
qué / qué	quoi / quoi	[sound:quoi _ quoi.mp3]
rojo / roja	rouge / rouge	[sound:rouge _ rouge.mp3]
sucio / sucia	sale / sale	[sound:sale _ sale.mp3]
serio / seria	sérieux / sérieuse	[sound:sérieux _ sérieuse.mp3]
solo / sola	seul / seule	[sound:seul _ seule.mp3]
sencillo / sencilla	simple / simple	[sound:simple _ simple.mp3]
súper / súper	super / super	[sound:super _ super.mp3]
todo / toda	tout / toute	[sound:tout _ toute.mp3]
tranquilo / tranquila	tranquille / tranquille	[sound:tranquille _ tranquille.mp3]
triste / triste	triste / triste	[sound:triste _ triste.mp3]
verde / verde	vert / verte	[sound:vert _ verte.mp3]
vacío / vacía	vide / vide	[sound:vide _ vide.mp3]
viejo / vieja	vieux / vieille	[sound:vieux _ vieille.mp3]
vivo / viva	vivant / vivante	[sound:vivant _ vivante.mp3]
verdadero / verdadera	vrai / vraie	[sound:vrai _ vraie.mp3]
asunto	l'affaire	[sound:l'affaire.mp3]
ayuda	l'aide	[sound:l'aide.mp3]
año	l'année	[sound:l'année.mp3]
arma	l'arme	[sound:l'arme.mp3]
ejército	l'armée	[sound:l'armée.mp3]
atención	l'attention	[sound:l'attention.mp3]
bola	la balle	[sound:la balle.mp3]
caja	la boîte	[sound:la boîte.mp3]
boca	la bouche	[sound:la bouche.mp3]
tarjeta	la carte	[sound:la carte.mp3]
causa	la cause	[sound:la cause.mp3]
