french,spanish
ancien / ancienne,antiguo / antigua
autre / autre,otro / otra
beau / belle,bonito / bonita
bizarre / bizarre,extraño / extraña
blanc / blanche,blanco / blanca
bleu / bleue,azul / azul
bon / bonne,bueno / buena
certain / certaine,seguro / segura
chaud / chaude,caliente / caliente
cher / chère,caro / cara
clair / claire,claro / clara
content / contente,contento / contenta
dernier / dernière,último / última
désolé / désolée,arrepentido / arrepentida
différent / différente,diferente / diferente
difficile / difficile,difícil / difícil
doux / douce,suave / suave
drôle / drôle,gracioso / graciosa
entier / entière,entero / entera
étrange / étrange,extraño / extraña
facile / facile,fácil / fácil
faux / fausse,falso / falsa
fort / forte,fuerte / fuerte
français / française,francés / francesa
froid / froide,frío / fría
gentil / gentille,amable / amable
grand / grande,grande / grande
grave / grave,grave / grave
gros / grosse,gordo / gorda
haut / haute,alto / alta
heureux / heureuse,feliz / feliz
humain / humaine,humano / humana
important / importante,importante / importante
impossible / impossible,imposible / imposible
jeune / jeune,joven / joven
joli / jolie,lindo / linda
juste / juste,justo / justa
léger / légère,ligero / ligera
libre / libre,libre / libre
long / longue,largo / larga
malade / malade,enfermo / enferma
mauvais / mauvaise,malo / mala
meilleur / meilleure,mejor / mejor
même / même,mismo / misma
mort / morte,muerto / muerta
noir / noire,negro / negra
nouveau / nouvelle,nuevo / nueva
pareil / pareille,igual / igual
pauvre / pauvre,pobre / pobre
petit / petite,pequeño / pequeña
plein / pleine,lleno / llena
possible / possible,posible / posible
premier / première,primero / primera
prêt / prête,listo / lista
prochain / prochaine,próximo / próxima
propre / propre,limpio / limpia
quoi / quoi,qué / qué
rouge / rouge,rojo / roja
sale / sale,sucio / sucia
sérieux / sérieuse,serio / seria
seul / seule,solo / sola
simple / simple,sencillo / sencilla
super / super,súper / súper
tout / toute,todo / toda
tranquille / tranquille,tranquilo / tranquila
triste / triste,triste / triste
vert / verte,verde / verde
vide / vide,vacío / vacía
vieux / vieille,viejo / vieja
vivant / vivante,vivo / viva
vrai / vraie,verdadero / verdadera
l'affaire,asunto
l'aide,ayuda
l'année,año
l'arme,arma
l'armée,ejército
l'attention,atención
la balle,bola
la boîte,caja
la bouche,boca
la carte,tarjeta
la cause,causa
la chambre,habitación
la chance,suerte
la chose,cosa
la classe,clase
la confiance,confianza
la couleur,color
la cour,patio
la cuisine,cocina
la dame,señora
la dent,diente
la droite,derecha
l'école,escuela
l'église,iglesia
l'envie,ganas
l'épaule,hombro
l'époque,época
l'équipe,equipo
l'erreur,error
l'espèce,especie
la face,cara
la façon,manera
la faim,hambre
la famille,familia
la faute,culpa
la femme,mujer
la fenêtre,ventana
la fête,fiesta
la fille,chica
la fleur,flor
la fois,vez
la force,fuerza
la forme,forma
la gauche,izquierda
la guerre,guerra
la gueule,boca (animales)
la habitude,costumbre
la heure,hora
la histoire,historia
l'idée,idea
l'image,imagen
l'impression,impresión
la jambe,pierna
la joie,alegría
la journée,diá
la langue,lengua
la lettre,letra
la lèvre,labio
la ligne,línea
la lumière,luz
la madame,señora
la main,mano
la maison,casa
la maman,mamá
la manière,manera
la marche,escalón
la merde,mierda
la mère,madre
la minute,minuto
la musique,música
la nuit,noche
l'odeur,olor
l'ombre,sombra
l'oreille,oreja
la paix,paz
la parole,palabra
la part,parte
la partie,parte
la peau,piel
la peine,pena
la pensée,pensamiento
la personne,persona
la peur,miedo
la photo,foto
la pièce,pieza
la pierre,piedra
la place,plaza
la poche,bolsillo
la police,policía
la porte,puerta
la présence,presencia
la prison,cárcel
la putain,prostituta
la question,cuestión
la raison,razón
la réponse,respuesta
la robe,vestido
la route,carretera
la salle,sala
la scène,escena
la seconde,segundo
la sécurité,seguridad
la semaine,semana
la situation,situación
la soeur,hermana
la soirée,noche
la sorte,tipo
la suite,seguida
la table,mesa
la terre,tierra
la tête,cabeza
la tour,torre
la vérité,verdad
la ville,ciudad
la voiture,coche
la voix,voz
l'accord,acuerdo
l'agent,agente
l'amour,amor
l'appel,llamada
l'arbre,árbol
l'argent,dinero
l'avenir,futuro
l'avion,avión
l'avis,opinión
le bateau,barco
le bébé,bebé
le besoin,necesidad
le bois,madera
le bonheur,alegría
le bonjour,buenos días
le bord,orilla
le boulot,trabajo (coloquial)
le bout,trozo
le bras,brazo
le bruit,ruido
le bureau,despcho
le café,café
le camp,campo
le capitaine,capitán
le chat,gato
le chef,jefe
le chemin,camino
le chéri,cariño
le cheval,caballo
le cheveu,pelo
le chien,perro
le choix,elección
le ciel,cielo
le client,cliente
le cœur,corazón
le coin,esquina
le colonel,coronel
le compte,cuenta
le copain,novio
le corps,cuerpo
le côté,lado
le coup,golpe
le courant,corriente
le cours,clase
le début,inicio
le départ,partida
le dieu,dios
le docteur,doctor
le doigt,dedo
le dollar,dólar
le doute,duda
le droit,derecho
l'effet,efecto
l'endroit,lugar
l'enfant,niño
l'ennemi,enemigo
l'escalier,escalera
l'esprit,mente
l'état,estado
l'être,ser
l'exemple,ejemplo
le fait,hecho
le film,película
le fils,hijo
le flic,policía (coloquial)
le fond,fondo
le français,francés
le frère,hermano
le front,frente
le garçon,chico
le garde,guarda
le gars,chico (coloquial)
le général,general
le genre,género
le gens,gente
le geste,gesto
le gosse,niño (coloquial)
le goût,sabor
le gouvernement,gobierno
le groupe,grupo
le homme,hombre
le honneur,honor
l'hôtel,hotel
l'instant,momento
l'intérêt,interés
l'intérieur,interior
le jardin,jardín
le jour,día
le journal,periódico
le lieu,lugar
le livre,libro
le maître,maestro
le mari,marido
le mariage,boda
le matin,la mañana
le médecin,médico
le merci,gracias
le mètre,metro
le milieu,medio
le million,millón
le mois,mes
le moment,momento
le monde,mundo
le monsieur,señor
le mort,muerte
le mouvement,movimiento
le moyen,medio
le nouveau,nuevo
le numéro,número
l'oeil,ojo
l'oiseau,pájaro
l'oncle,tío
l'ordre,orden
le papa,papá
le papier,papel
le parent,padres
le passage,paso
le passé,pasado
le patron,patrón
le pays,país
le père,padre
le petit,pequeño
le peuple,pueblo
le pied,pie
le plaisir,placer
le plan,plan
le point,punto
le pouvoir,poder
le premier,primero
le présent,presente
le président,presidente
le prince,príncipe
le prix,precio
le problème,problema
le professeur,profesor
le propos,palabras
le quartier,barrio
le rapport,relación
le regard,mirada
le reste,resto
le retard,retraso
le retour,vuelta
le rêve,sueño
le salut,saludo
le sang,sangre
le secret,secreto
le seigneur,señor (espiritual)
le sens,sentido
le sentiment,sentimiento
le service,servicio
le siècle,siglo
le signe,señal
le silence,silencio
le soir,noche
le soldat,soldado
le soleil,sol
le sourire,sonrisa
le souvenir,recuerdo
le sujet,tema
le téléphone,teléfono
le temps,tiempo
le tout,todo
le train,tren
le travail,trabajo
le travers,rareza
le trou,hueco
le truc,cosa (coloquial)
le type,tipo
le vent,viento
le ventre,barriga
le verre,vaso
le vieux,viejo
le village,pueblo
le visage,cara
le voyage,viaje
abandonner,abandonar
accepter,aceptar
accompagner,acompañar
acheter,comprar
adorer,adorar
agir,actuar
aider,ayudar
aimer,gustar
ajouter,añadir
aller,ir
amener,traer
amuser,divertir
annoncer,anunciar
apercevoir,percibir
apparaître,aparecer
appeler,llamar
apporter,traer
apprendre,aprender
approcher,acercarse
arranger,arreglar
arrêter,parar
arriver,llegar
asseoir,sentarse
assurer,asegurar
attaquer,atacar
atteindre,alcanzar
attendre,esperar
avancer,avanzar
avoir,tener
baisser,bajar
battre,golpear
boire,beber
bouger,mover
brûler,quemar
cacher,esconder
calmer,calmar
casser,romper
cesser,parar
changer,cambiar
chanter,cantar
charger,cargar
chercher,buscar
choisir,elegir
commencer,empezar
comprendre,entender
compter,contar
conduire,conducir
connaître,conocer
continuer,continuar
coucher,dormir
couper,cortar
courir,correr
couvrir,cubrir
craindre,tener miedo
crier,gritar
croire,creer
danser,bailar
décider,decidir
découvrir,descubrir
dégager,despejar
demander,preguntar
descendre,bajar
désoler,entristecer
détester,odiar
détruire,destruir
devenir,convertirse en
deviner,adivinar
devoir,deber
dire,decir
disparaître,desaparecer
donner,dar
dormir,dormir
échapper,escapar
écouter,escuchar
écrire,escribir
éloigner,alejar
embrasser,besar
emmener,llevar
empêcher,impedir
emporter,llevar
enlever,quitar
entendre,oír
entrer,entrar
envoyer,enviar
espérer,esperar
essayer,intentar
être,ser
éviter,evitar
excuser,perdonar
exister,existir
expliquer,explicar
faire,hacer
falloir,hacer falta
fermer,cerrar
filer,dar (coloquial)
finir,acabar
foutre,hacer (muy coloquial)
frapper,golpear
gagner,ganar
garder,guardar
glisser,resbalar
habiter,vivir
ignorer,ignorar
imaginer,imaginar
importer,importar
inquiéter,preocupar
installer,instalar
intéresser,interesar
inviter,invitar
jeter,tirar
jouer,jugar
jurer,jurar
lâcher,soltar
laisser,dejar
lancer,tirar
lever,levantar
lire,leer
maintenir,mantener
manger,comer
manquer,faltar
marcher,caminar
marier,casar
mener,mandar
mentir,mentir
mettre,poner
monter,subir
montrer,mostrar
mourir,morir
naître,nacer
obliger,obligar
occuper,ocupar
offrir,regalar
oser,atreverse
oublier,olvidar
ouvrir,abrir
paraître,parecer
parler,hablar
partir,marcharse
passer,pasar
payer,pagar
penser,pensar
perdre,perder
permettre,permitir
plaire,gustarle a alguien
pleurer,llorar
porter,llevar algo
poser,colocar
pousser,empujar
pouvoir,poder
préférer,preferir
prendre,tomar
préparer,preparar
présenter,presentar
prévenir,avisar
prier,rezar
promettre,prometer
proposer,ofrecer algo
protéger,proteger
quitter,dejar
raconter,contar
ramener,volver a llevar
rappeler,volver a llamar
recevoir,recibir
reconnaître,reconocer
réfléchir,pensar
refuser,rechazar
regarder,mirar
rejoindre,reunirse
remarquer,notar
remettre,devolver
remonter,volver a subir
rencontrer,encontrar
rendre,devolver
rentrer,volver
répéter,repetir
répondre,contestar
reposer,descansar
reprendre,volver a servirse
ressembler,parecer a
rester,quedarse
retenir,memorizar
retirer,quitar
retourner,voltear
retrouver,volver a encontrar
réussir,tener éxito
réveiller,despertar
revenir,volver
rêver,soñar
revoir,ver de nuevo
rire,réir
risquer,arriesgar
rouler,rodar
sauter,saltar
sauver,salvar
savoir,saber
sembler,parecer
sentir,sentir
séparer,separar
serrer,apretar
servir,servir
sortir,salir
souffrir,sufrir
